face_id,src,dst,face_length,normal_x,normal_y,center_distance,elevation_src,elevation_dst,elevation_diff,bed_slope,manning_src,manning_dst,manning_mean,manning_diff,ip_src,ip_dst,ip_mean,ip_diff,landcover_ip_src,landcover_ip_dst,area_src,area_dst,area_mean,area_ratio,zone_src,zone_dst,same_zone,zone3_touching,zone3_internal,surface_gradient_rms,face_target_mean,face_target_std,face_target_rms
27214,9738,10562,61.41975403,0.2918085456,0.956476748,66.01710389,-2,-2,0,0,0.045,0.03,0.0375,-0.015,10,0,5,-10,10,0,6174.647461,5352.677246,5763.662354,1.153562447,1,1,1,0,0,1.863428869e-06,-244976.25,77646.40625,256987.0312
27215,9738,10967,89.40649414,0.3285956681,-0.9444707036,53.59131455,-2,3.864628792,5.864628792,0.1094324489,0.045,0.045,0.045,0,10,10,10,0,10,10,6174.647461,4954.876953,5564.762207,1.246175741,1,2,0,0,0,0.01439395199,302978.4375,131104.3438,330127.6562
27216,9738,10563,41.11269379,0.9956920147,-0.09272243083,76.19778821,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,6174.647461,5773.391602,5974.019531,1.069500891,1,1,1,0,0,9.065876774e-06,279884.8125,92350.05469,294727.0625
27217,10562,10563,61.14556503,0.6943740249,-0.719614327,79.92031851,-2,-2,0,0,0.03,0.045,0.0375,0.015,0,10,5,10,0,10,5352.677246,5773.391602,5563.034424,1.078598865,1,1,1,0,0,7.930870861e-06,814217.1875,259721.4062,854637.25
27218,10967,10563,30.58498573,0.7310552597,0.6823182702,80,3.864628792,-2,-5.864628792,-0.0733078599,0.045,0.045,0.045,0,10,10,10,0,10,10,4954.876953,5773.391602,5364.134277,1.165193739,2,1,0,0,0,0.0420814727,711.3983765,2979.910156,3063.650146
27219,9652,10968,28.29850197,-0.1740682721,-0.9847335815,109.2859248,-1.041069031,-2,-0.958930969,-0.008774514837,0.045,0.045,0.045,0,10,10,10,0,10,10,17457.89258,3861.210938,10659.55176,4.521351685,0,2,0,0,0,0.005770611967,212091.9219,62594.80078,221135.9219
27220,9652,9653,153.38237,0.5017908812,-0.8649889827,99.24686437,-1.041069031,-2,-0.958930969,-0.009662078243,0.045,0.045,0.045,0,10,10,10,0,10,10,17457.89258,8896.954346,13177.42346,1.962232456,0,0,1,0,0,0.001063365771,560649.5,196009.1562,593925.5
27221,9652,10565,46.66057587,0.6860477328,-0.7275565267,155.2203193,-1.041069031,7.744979382,8.786048413,0.05660372593,0.045,0.045,0.045,0,10,10,10,0,10,10,17457.89258,12441.61865,14949.75562,1.403184993,0,0,1,0,0,0.04258777269,211562.4219,79942.32031,226162.4062
27222,9652,10564,118.7637939,-0.6210832,0.7837446332,84.54639194,-1.041069031,-2,-0.958930969,-0.0113420685,0.045,0.045,0.045,0,10,10,10,0,10,10,17457.89258,6503.219482,11980.55603,2.684499981,0,1,0,0,0,0.003206602563,-830979.875,270117,873779.625
27223,10968,9653,79.16713715,0.9718031883,0.2357934117,60.27342793,-2,-2,0,0,0.045,0.045,0.045,0,10,10,10,0,10,10,3861.210938,8896.954346,6379.082642,2.304187595,2,0,0,0,0,3.907184826e-06,-75844.15625,31204.76562,82012.64062
